date,hari,bulan,tahun,komoditas,komoditas_normalisasi,commodity,tipe_pasar,market_type,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi,jumlah_pasar,jumlah_sumber_data
2024-04-14,14,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-03-13,13,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.12,8000,14000,32,1
2024-03-26,26,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11641.94,7400,14000,31,1
2024-04-25,25,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11347.83,8000,14000,23,1
2024-02-22,22,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11515.62,7000,14000,32,1
2024-05-01,1,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11631.58,9000,14000,19,1
2024-05-02,2,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11727.27,9000,14000,22,1
2024-02-23,23,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11590.91,7000,14000,33,1
2024-03-15,15,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11545.45,7500,14000,33,1
2024-03-30,30,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11620.69,7000,14000,29,1
2024-03-29,29,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11718.75,8000,14000,32,1
2024-03-18,18,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,7500,14000,34,1
2024-02-19,19,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11590.91,7000,14000,33,1
2024-05-04,4,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11238.1,6000,14000,21,1
2024-03-09,9,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11580.65,7500,14000,31,1
2024-04-28,28,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11454.55,6000,14000,22,1
2024-03-04,4,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11543.48,7500,14000,23,1
2024-03-05,5,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11468.75,7500,14000,32,1
2024-03-24,24,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11661.29,7000,14000,31,1
2024-04-19,19,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11562.5,6000,14000,32,1
2024-02-10,10,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,14000,31,1
2024-02-18,18,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.38,7500,14000,32,1
2024-04-03,3,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11909.09,8000,14000,22,1
2024-02-26,26,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.38,7000,14000,32,1
2024-02-29,29,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11359.38,7000,14000,32,1
2024-03-07,7,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.13,7000,14000,32,1
2024-03-28,28,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11689.66,7500,14000,29,1
2024-04-26,26,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11428.57,9000,14000,21,1
2024-01-19,19,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11242.42,6000,14000,33,1
2024-02-28,28,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-02-25,25,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11564.52,7000,14000,31,1
2024-02-16,16,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11696.97,7000,14000,33,1
2024-02-17,17,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11703.12,7500,14000,32,1
2024-03-31,31,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11677.42,8000,14000,31,1
2024-06-12,12,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11571.43,9000,14000,21,1
2024-02-11,11,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11466.67,6000,14000,30,1
2024-03-22,22,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11409.09,7000,14000,33,1
2024-03-23,23,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11603.45,7000,14000,29,1
2024-02-20,20,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11632.35,7000,14000,34,1
2024-03-10,10,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11448.28,7500,14000,29,1
2024-04-17,17,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12166.67,10000,14000,12,1
2024-04-23,23,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11650.0,8000,14000,20,1
2024-03-27,27,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11666.67,7500,14000,30,1
2024-04-29,29,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11272.73,6000,14000,22,1
2024-05-03,3,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11521.74,8000,14000,23,1
2024-03-06,6,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11546.87,7000,14000,32,1
2024-03-11,11,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11566.67,7500,14000,30,1
2024-03-25,25,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11609.37,8000,14000,32,1
2024-02-24,24,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11296.97,1300,14000,33,1
2024-03-20,20,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11533.33,7500,14000,30,1
2024-02-27,27,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-02-14,14,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11403.85,6500,14000,26,1
2024-04-30,30,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11285.71,6000,14000,21,1
2024-03-14,14,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11625.0,7500,14000,32,1
2024-05-12,12,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11304.35,6000,14000,23,1
2024-03-03,3,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11403.23,7000,14000,31,1
2024-03-17,17,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11593.75,7500,14000,32,1
2024-02-21,21,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11573.53,7000,14000,34,1
2024-03-01,1,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,7000,14000,30,1
2024-04-01,1,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11783.33,7500,14000,30,1
2024-03-16,16,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11593.75,7500,14000,32,1
2024-03-19,19,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11533.33,7500,14000,30,1
2024-04-27,27,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11210.53,6000,14000,19,1
2024-04-20,20,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11483.87,6000,14000,31,1
2024-03-21,21,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-06-10,10,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11846.15,9000,13000,13,1
2024-06-28,28,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11722.22,9000,13000,18,1
2024-06-15,15,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11687.5,9000,13000,16,1
2024-04-19,19,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,59547.62,35000,85000,42,1
2024-04-24,24,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,69148.15,35000,85000,27,1
2024-04-21,21,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,56925.0,35000,85000,40,1
2024-04-14,14,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,46951.22,30000,85000,41,1
2024-04-12,12,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,46097.56,30000,85000,41,1
2024-04-20,20,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,58439.02,35000,85000,41,1
2024-04-23,23,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,70115.38,35000,85000,26,1
2024-04-25,25,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,70621.0,35000,85000,29,1
2024-03-24,24,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,39073.17,18000,53000,41,1
2024-03-30,30,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,40717.95,23000,53000,39,1
2024-03-28,28,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,39794.87,20000,53000,39,1
2024-04-17,17,4,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,48375.0,38000,72000,16,1
2024-03-10,10,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,37500.0,20000,50000,38,1
2024-01-27,27,1,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,36244.19,3500,50000,43,1
2024-02-18,18,2,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,37195.12,23000,50000,41,1
2024-01-26,26,1,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,36891.3,20000,50000,46,1
2024-03-04,4,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,38034.48,22000,50000,29,1
2024-03-11,11,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,38075.0,21000,50000,40,1
2024-02-26,26,2,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,38674.42,24000,50000,43,1
2024-01-05,5,1,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,41357.14,29000,50000,42,1
2024-01-31,31,1,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,36904.76,18000,50000,42,1
2024-02-02,2,2,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,36681.82,17000,50000,44,1
2024-03-03,3,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,38142.86,23000,50000,42,1
2024-03-06,6,3,2024,Bawang Merah,Bawang Merah,Shallot,Pasar Induk,Central Market,Jabodetabek,37785.71,20000,50000,42,1
